qb_name,draft_year,college,col_completions,col_att,col_yds,col_td,col_int,col_sacks,col_sack_yds,col_rush_car,col_rush_yds,col_rush_td,col_ppa_plays,col_cmp_pct,col_yds_per_att,col_td_int_ratio,col_int_rate,col_sack_rate,col_rush_yds_per_att,col_ppa_overall,col_ppa_pass,col_ppa_rush,col_usage_overall,col_usage_pass,col_usage_rush,col_usage_first_down,col_usage_second_down,col_usage_third_down,col_team_win_pct,col_conference,col_team,col_seasons_found,recruit_stars,recruit_rating,recruit_ranking,recruit_position,recruit_city,recruit_state_prov
Ryan Finley,2019,North Carolina St.,568.0,864.0,6669.0,36.0,14.0,,,97.0,219.0,4.0,,65.74,7.72,2.57,1.62,0.0,2.26,0.372,0.3765,0.281,0.538,0.985,0.0975,0.4535,0.5245,0.8035,,ACC,NC State,2,,,,,,
Gardner Minshew II,2019,Washington St.,607.0,917.0,6617.0,52.0,16.0,,,70.0,63.0,3.0,,66.19,7.22,3.25,1.74,0.0,0.9,0.273,0.28,0.05249999999999999,0.573,0.817,0.1095,0.5185,0.5995,0.6910000000000001,,PAC,Washington State,2,3.0,0.8089,1872.0,PRO,Brandon,MS
Joe Burrow,2020,LSU,540.0,784.0,7214.0,60.0,10.0,,,215.0,664.0,10.0,,68.88,9.2,6.0,1.28,0.0,3.09,0.4445,0.4435,0.42200000000000004,0.5509999999999999,0.9550000000000001,0.178,0.523,0.5405,0.694,,SEC,LSU,2,4.0,0.9003,295.0,DUAL,The Plains,OH
Tua Tagovailoa,2020,Alabama,379.0,546.0,6193.0,70.0,7.0,,,71.0,207.0,7.0,,69.41,11.34,10.0,1.28,0.0,2.92,0.615,0.6455,0.335,0.4335,0.8345,0.066,0.421,0.4415,0.5145,,SEC,Alabama,2,5.0,0.9843,32.0,DUAL,Honolulu,HI
Justin Herbert,2020,Oregon,493.0,779.0,6318.0,60.0,13.0,,,116.0,194.0,3.0,,63.29,8.11,4.62,1.67,0.0,1.67,0.35450000000000004,0.3415,0.44599999999999995,0.5025,0.9644999999999999,0.088,0.385,0.522,0.741,,PAC,Oregon,2,3.0,0.8614,648.0,PRO,Eugene,OR
Jalen Hurts,2020,Oklahoma,272.0,377.0,4389.0,40.0,9.0,,,253.0,1422.0,20.0,,72.15,11.64,4.44,2.39,0.0,5.62,0.5135,0.661,0.22349999999999998,0.3615,0.552,0.2315,0.314,0.381,0.4995,,B12,Oklahoma,2,4.0,0.9262,175.0,DUAL,Channelview,TX
Trevor Lawrence,2021,Clemson,430.0,623.0,5925.0,56.0,12.0,,,135.0,618.0,14.0,,69.02,9.51,4.67,1.93,0.0,4.58,0.476,0.4505,0.595,0.5025,0.8175,0.163,0.45299999999999996,0.5285,0.6154999999999999,,ACC,Clemson,2,5.0,0.9999,1.0,PRO,Cartersville,GA
Zach Wilson,2021,BYU,393.0,578.0,5334.0,40.0,10.0,,,117.0,348.0,9.0,,67.99,9.23,4.0,1.73,0.0,2.97,0.429,0.423,0.46950000000000003,0.521,0.8680000000000001,0.15250000000000002,0.523,0.472,0.586,,Ind,BYU,2,3.0,0.854,958.0,PRO,Draper,UT
Trey Lance,2021,North Dakota St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.0,0.8104,2004.0,DUAL,Marshall,MN
Justin Fields,2021,Ohio St.,327.0,472.0,4474.0,55.0,6.0,,,190.0,745.0,15.0,,69.28,9.48,9.17,1.27,0.0,3.92,0.47950000000000004,0.455,0.58,0.49350000000000005,0.9359999999999999,0.179,0.4225,0.5305,0.621,,B1G,Ohio State,2,5.0,0.9998,2.0,DUAL,Kennesaw,GA
Mac Jones,2021,Alabama,331.0,443.0,4915.0,43.0,7.0,,,41.0,29.0,2.0,,74.72,11.09,6.14,1.58,0.0,0.71,0.562,0.5695,0.4295,0.3535,0.6775,0.0455,0.3265,0.3315,0.48050000000000004,,SEC,Alabama,2,3.0,0.8847,391.0,PRO,Jacksonville,FL
Davis Mills,2021,Stanford,284.0,433.0,3453.0,18.0,8.0,,,62.0,81.0,3.0,,65.59,7.97,2.25,1.85,0.0,1.31,0.34450000000000003,0.36,0.1815,0.5569999999999999,0.8825000000000001,0.115,0.511,0.56,0.6779999999999999,,PAC,Stanford,2,5.0,0.9918,15.0,PRO,Norcross,GA
Kenny Pickett,2022,Pittsburgh,538.0,830.0,6727.0,55.0,16.0,,,178.0,403.0,13.0,,64.82,8.1,3.44,1.93,0.0,2.26,0.36450000000000005,0.3695,0.344,0.5925,0.958,0.1855,0.535,0.5515000000000001,0.7615000000000001,,ACC,Pittsburgh,2,3.0,0.8567,736.0,PRO,Oakhurst,NJ
Desmond Ridder,2022,Cincinnati,396.0,599.0,5280.0,47.0,14.0,,,187.0,965.0,18.0,,66.11,8.81,3.36,2.34,0.0,5.16,0.387,0.359,0.49,0.569,0.96,0.21500000000000002,0.533,0.5569999999999999,0.6885,,AAC,Cincinnati,2,,,,,,
Bailey Zappe,2022,Western Kentucky,548.0,808.0,6998.0,68.0,12.0,,,65.0,14.0,3.0,,67.82,8.66,5.67,1.49,0.0,0.22,0.4675,0.47250000000000003,0.3505,0.728,0.984,0.1305,0.671,0.7709999999999999,0.7925,,CUSA,Western Kentucky,2,,,,,,
Sam Howell,2022,North Carolina,424.0,644.0,6203.0,50.0,15.0,,,250.0,946.0,16.0,,65.84,9.63,3.33,2.33,0.0,3.78,0.42,0.389,0.46099999999999997,0.5775,0.9795,0.226,0.504,0.5955,0.748,,ACC,North Carolina,2,4.0,0.9582,93.0,DUAL,Monroe,NC
Brock Purdy,2022,Iowa St.,492.0,703.0,5578.0,36.0,16.0,,,158.0,567.0,5.0,,69.99,7.93,2.25,2.28,0.0,3.59,0.3765,0.382,0.3295,0.5555,0.952,0.1685,0.4345,0.6085,0.7685,,B12,Iowa State,2,3.0,0.8594,839.0,PRO,Gilbert,AZ
Bryce Young,2023,Alabama,544.0,821.0,7329.0,70.0,9.0,,,117.0,226.0,7.0,,66.26,8.93,7.78,1.1,0.0,1.93,0.4515,0.446,0.514,0.54,0.9345,0.0845,0.436,0.5795,0.731,,SEC,Alabama,2,5.0,0.9994,2.0,DUAL,Santa Ana,CA
C.J. Stroud,2023,Ohio St.,515.0,750.0,7202.0,75.0,11.0,,,66.0,44.0,0.0,,68.67,9.6,6.82,1.47,0.0,0.67,0.5489999999999999,0.5845,-0.05,0.524,0.945,0.068,0.476,0.532,0.626,,B1G,Ohio State,2,4.0,0.9779,42.0,PRO,Rancho Cucamonga,CA
Anthony Richardson,2023,Florida,214.0,391.0,3078.0,23.0,14.0,,,154.0,1055.0,12.0,,54.73,7.87,1.64,3.58,0.0,6.85,0.399,0.276,0.654,0.3875,0.625,0.198,0.3485,0.3695,0.477,,SEC,Florida,2,4.0,0.9204,207.0,DUAL,Gainesville,FL
Will Levis,2023,Kentucky,401.0,608.0,4999.0,42.0,22.0,,,165.0,284.0,11.0,,65.95,8.22,1.91,3.62,0.0,1.72,0.36,0.319,0.531,0.521,0.9755,0.1435,0.39,0.511,0.8345,,SEC,Kentucky,2,3.0,0.8689,652.0,PRO,Middletown,CT
Aidan O'Connell,2023,Purdue,608.0,890.0,6659.0,45.0,21.0,,,65.0,-192.0,2.0,,68.31,7.48,2.14,2.36,0.0,-2.95,0.379,0.3775,0.47800000000000004,0.5489999999999999,0.8885000000000001,0.038,0.45899999999999996,0.5945,0.6890000000000001,,B1G,Purdue,2,,,,,,
Dorian Thompson-Robinson,2023,UCLA,426.0,641.0,5292.0,46.0,13.0,,,242.0,1241.0,20.0,,66.46,8.26,3.54,2.03,0.0,5.13,0.4475,0.4125,0.5680000000000001,0.5275000000000001,0.9275,0.22249999999999998,0.5055000000000001,0.4505,0.7064999999999999,,PAC,UCLA,2,4.0,0.9813,36.0,DUAL,Las Vegas,NV
Caleb Williams,2024,USC,562.0,836.0,7708.0,67.0,9.0,,,208.0,487.0,21.0,,67.22,9.22,7.44,1.08,0.0,2.34,0.48750000000000004,0.46799999999999997,0.6074999999999999,0.622,0.944,0.20600000000000002,0.5485,0.6455,0.757,,PAC,USC,2,5.0,0.9969,7.0,QB,Washington,DC
Jayden Daniels,2024,LSU,490.0,698.0,6586.0,56.0,7.0,,,315.0,1952.0,21.0,,70.2,9.44,8.0,1.0,0.0,6.2,0.5225,0.47950000000000004,0.6515,0.5825,0.853,0.3,0.5425,0.617,0.638,,SEC,LSU,2,4.0,0.9832,35.0,DUAL,San Bernardino,CA
Drake Maye,2024,North Carolina,593.0,906.0,7723.0,59.0,16.0,,,284.0,1103.0,16.0,,65.45,8.52,3.69,1.77,0.0,3.88,0.40800000000000003,0.3905,0.5135000000000001,0.6425000000000001,0.984,0.2555,0.5549999999999999,0.677,0.772,,ACC,North Carolina,2,4.0,0.9724,56.0,QB,Charlotte,NC
Michael Penix,2024,Washington,637.0,967.0,8572.0,62.0,16.0,,,61.0,68.0,7.0,,65.87,8.86,3.88,1.65,0.0,1.11,0.454,0.46699999999999997,0.209,0.596,0.964,0.07350000000000001,0.5885,0.565,0.6785,,PAC,Washington,2,3.0,0.8749,548.0,PRO,Tampa,FL
J.J. McCarthy,2024,Michigan,401.0,575.0,5006.0,39.0,7.0,,,117.0,400.0,7.0,,69.74,8.71,5.57,1.22,0.0,3.42,0.47150000000000003,0.4675,0.5065,0.4135,0.8885000000000001,0.094,0.3605,0.40900000000000003,0.5529999999999999,,B1G,Michigan,2,5.0,0.9866,25.0,QB,La Grange Park,IL
Bo Nix,2024,Oregon,607.0,813.0,7534.0,67.0,9.0,,,136.0,736.0,20.0,,74.66,9.27,7.44,1.11,0.0,5.41,0.5265,0.498,0.652,0.5385,0.9335,0.14100000000000001,0.5055000000000001,0.508,0.6755,,PAC,Oregon,2,5.0,0.9856,33.0,DUAL,Pinson,AL
Spencer Rattler,2024,South Carolina,508.0,749.0,5951.0,35.0,19.0,,,164.0,121.0,7.0,,67.82,7.95,1.84,2.54,0.0,0.74,0.3135,0.3065,0.361,0.5875,0.9495,0.1535,0.514,0.5785,0.7765,,SEC,South Carolina,2,5.0,0.9942,11.0,PRO,Phoenix,AZ
