qb_name,draft_year,draft_round,college,col_cmp_pct,col_ppa_pass,col_rush_yds_per_att,col_usage_overall,col_int_rate,col_team_win_pct,cluster_id,cluster_label,pc1,pc2,pc3,composite_nfl_score,recruit_rating_scaled
Justin Fields,2021,1,Ohio St.,69.28,0.455,3.92,0.4935,1.27,0.9018,3,Elite Multi-Dimensional,1.8683,-1.4321,1.5746,47.83285573575638,99.98
Mac Jones,2021,1,Alabama,74.72,0.5695,0.71,0.3535,1.58,0.9231,1,Efficient Passers,4.3909,0.7112,-1.6874,70.79430468143963,88.47
Davis Mills,2021,3,Stanford,65.59,0.36,1.31,0.5569999999999999,1.85,0.5,0,Pure Pocket Passers,-1.8563,0.3422,-0.8033,55.12541826377942,99.18
Kenny Pickett,2022,1,Pittsburgh,64.82,0.3695,2.26,0.5925,1.93,0.6656,0,Pure Pocket Passers,-1.767,-0.5264,-0.0198,56.42399766850619,85.67
Desmond Ridder,2022,3,Cincinnati,66.11,0.359,5.16,0.569,2.34,0.9143,0,Pure Pocket Passers,-0.6177,0.1575,1.1249,67.76487170038624,
Bailey Zappe,2022,4,Western Kentucky,67.82,0.4725,0.22,0.728,1.49,0.44645,0,Pure Pocket Passers,-1.2397,-2.3843,-1.294,54.7158210624977,
Sam Howell,2022,5,North Carolina,65.84,0.389,3.78,0.5775,2.33,0.5641,2,Raw Dual-Threats,-1.4486,-0.1487,2.3602,60.18451612708526,95.82
Brock Purdy,2022,7,Iowa St.,69.99,0.382,3.59,0.5555,2.28,0.64425,0,Pure Pocket Passers,-1.4603,0.0001,-0.2927,87.93275343020285,85.94000000000001
Bryce Young,2023,1,Alabama,66.26,0.446,1.93,0.54,1.1,0.8564499999999999,3,Elite Multi-Dimensional,0.6635,-1.8401,0.2486,49.50605030660984,99.94
C.J. Stroud,2023,1,Ohio St.,68.67,0.5845,0.67,0.524,1.47,0.8462,3,Elite Multi-Dimensional,1.9598,-1.4,-1.0742,65.21119401511787,97.79
Anthony Richardson,2023,1,Florida,54.73,0.276,6.85,0.3875,3.58,0.4615,2,Raw Dual-Threats,-1.3382,5.4212,0.2874,24.099604819558923,92.04
Will Levis,2023,2,Kentucky,65.95,0.319,1.72,0.521,3.62,0.65385,2,Raw Dual-Threats,-2.8161,0.9886,1.0757,51.33438504207827,86.89
Aidan O'Connell,2023,4,Purdue,68.31,0.3775,-2.95,0.5489999999999999,2.36,0.63185,0,Pure Pocket Passers,-1.773,0.059,-2.1713,61.30689166173522,
Dorian Thompson-Robinson,2023,5,UCLA,66.46,0.4125,5.13,0.5275000000000001,2.03,0.6795,0,Pure Pocket Passers,-0.5443,0.2246,0.5736,29.4797148237042,98.13
Caleb Williams,2024,1,USC,67.22,0.4679999999999999,2.34,0.622,1.08,0.70055,3,Elite Multi-Dimensional,0.2742,-2.2728,0.788,58.33695935986862,99.69
Jayden Daniels,2024,1,LSU,70.2,0.4795,6.2,0.5825,1.0,0.74175,3,Elite Multi-Dimensional,1.7123,-1.3906,2.1261,80.95696214502482,98.32
Drake Maye,2024,1,North Carolina,65.45,0.3905,3.88,0.6425000000000001,1.77,0.62915,0,Pure Pocket Passers,-1.5852,-0.9936,1.0664,84.94092685588073,97.24
Michael Penix,2024,1,Washington,65.87,0.4669999999999999,1.11,0.596,1.65,0.88975,0,Pure Pocket Passers,0.1393,-1.008,-1.5701,56.37886348193292,87.49
J.J. McCarthy,2024,1,Michigan,69.74,0.4675,3.42,0.4135,1.22,0.9643,3,Elite Multi-Dimensional,2.033,-0.1686,-0.3859,35.60503432069343,98.66
Bo Nix,2024,1,Oregon,74.66,0.498,5.41,0.5385,1.11,0.81315,3,Elite Multi-Dimensional,2.2538,-1.6662,-0.6898,76.20057775562749,98.56
Spencer Rattler,2024,5,South Carolina,67.82,0.3065,0.74,0.5875,2.54,0.51605,2,Raw Dual-Threats,-2.9603,0.0674,0.357,63.81972498881383,99.42
