qb_name,draft_year,draft_round,draft_pick,nfl_team,college,nfl_ontgt_pct,nfl_badth_pct,nfl_cmp_pct,nfl_any_a,nfl_rate,nfl_qbr,nfl_td_pct,nfl_int_pct,nfl_prss_pct,nfl_g,nfl_gs,nfl_att,nfl_yds,nfl_td,nfl_int,has_advanced_stats,col_cmp_pct,col_yds_per_att,col_td_int_ratio,col_int_rate,col_sack_rate,col_rush_yds_per_att,col_ppa_overall,col_ppa_pass,col_ppa_rush,col_usage_overall,col_usage_pass,col_usage_rush,col_usage_first_down,col_usage_second_down,col_usage_third_down,col_team_win_pct,recruit_rating,recruit_stars,col_conference,col_team,col_seasons_found
Ryan Finley,2019,4,104,CIN,North Carolina St.,65.42268907563026,22.41176470588235,48.713445378151256,2.700840336134454,59.410924369747896,33.2,2.515126050420168,3.3756302521008403,38.531092436974795,16.0,8.0,238.0,638.0,3.0,4.0,True,65.74,7.72,2.57,1.62,0.0243,2.26,0.372,0.3765,0.281,0.538,0.985,0.0975,0.4535,0.5245,0.8035,,,,ACC,NC State,2
Gardner Minshew II,2019,6,178,JAX,Washington St.,74.78983688833124,18.6,62.856587202007525,6.3179422835633625,93.12835633626098,44.3,4.664115432873275,1.3820577164366374,21.733375156838143,46.0,40.0,1594.0,5530.0,37.0,11.0,True,66.19,7.22,3.25,1.74,0.0213,0.9,0.273,0.28,0.0524999999999999,0.573,0.817,0.1095,0.5185,0.5995,0.6910000000000001,,0.8089,3.0,PAC,Washington State,2
Joe Burrow,2020,1,1,CIN,LSU,79.52077922077922,12.492640692640691,68.17012987012987,6.712987012987013,100.2112554112554,54.35,5.057142857142857,2.0441558441558443,24.325108225108227,52.0,52.0,1848.0,7299.0,47.0,19.0,True,68.88,9.2,6.0,1.28,0.0708,3.09,0.4445,0.4435,0.422,0.5509999999999999,0.955,0.178,0.523,0.5405,0.694,,0.9003,4.0,SEC,LSU,2
Tua Tagovailoa,2020,1,5,MIA,Alabama,77.53362831858408,17.48377581120944,66.21740412979351,5.628908554572272,88.81681415929202,50.25,3.971681415929204,2.215044247787611,18.24808259587021,46.0,42.0,1356.0,4467.0,27.0,15.0,True,69.41,11.34,10.0,1.28,0.035,2.92,0.615,0.6455,0.335,0.4335,0.8345,0.066,0.421,0.4415,0.5145,,0.9843,5.0,SEC,Alabama,2
Justin Herbert,2020,1,6,LAC,Oregon,78.46243093922652,16.196685082872925,66.22872928176795,6.853038674033149,97.98176795580112,66.75,5.465193370165745,1.965193370165746,23.767403314917125,64.0,64.0,2534.0,9350.0,69.0,25.0,True,63.29,8.11,4.62,1.67,0.0513,1.67,0.3545,0.3415,0.4459999999999999,0.5025,0.9645,0.088,0.385,0.522,0.741,,0.8614,3.0,PAC,Oregon,2
Jalen Hurts,2020,2,53,PHI,Oklahoma,73.73448275862069,17.240689655172414,58.926896551724134,6.272413793103448,84.7503448275862,44.2,3.802068965517241,2.2531034482758625,25.328275862068963,60.0,38.0,1160.0,4205.0,22.0,13.0,True,72.15,11.64,4.44,2.39,0.0575,5.62,0.5135,0.661,0.2234999999999999,0.3615,0.552,0.2315,0.314,0.381,0.4995,,0.9262,4.0,B12,Oklahoma,2
Trevor Lawrence,2021,1,1,JAX,Clemson,73.66357504215851,17.893254637436762,62.89915682967959,5.583305227655987,83.37318718381114,47.6,3.1325463743676223,2.1106239460370992,20.08870151770658,68.0,68.0,2372.0,7754.0,37.0,25.0,True,69.02,9.51,4.67,1.93,0.0414,4.58,0.476,0.4505,0.595,0.5025,0.8175,0.163,0.4529999999999999,0.5285,0.6154999999999999,,0.9999,5.0,ACC,Clemson,2
Zach Wilson,2021,1,2,NYJ,BYU,68.99968,24.34208,55.17408,4.32592,70.90032,35.95,2.37744,2.9,29.0512,44.0,44.0,1250.0,4022.0,15.0,18.0,True,67.99,9.23,4.0,1.73,0.0438,2.97,0.429,0.423,0.4695,0.521,0.8680000000000001,0.1525,0.523,0.472,0.586,,0.854,3.0,Ind,BYU,2
Trey Lance,2021,1,3,SFO,North Dakota St.,70.67843137254903,23.20686274509804,54.8735294117647,6.845098039215687,84.44411764705882,37.95,4.872549019607843,2.92156862745098,21.948039215686276,16.0,8.0,204.0,797.0,5.0,3.0,True,,,,,0.0394,,,,,,,,,,,,0.8104,3.0,,,0
Justin Fields,2021,1,11,CHI,Ohio St.,71.67244897959182,20.49387755102041,59.71122448979591,4.4163265306122454,79.68979591836735,43.849999999999994,4.060204081632652,3.5918367346938775,27.083673469387755,54.0,50.0,1176.0,4112.0,24.0,21.0,True,69.28,9.48,9.17,1.27,0.0824,3.92,0.4795,0.455,0.58,0.4935,0.936,0.179,0.4225,0.5305,0.621,,0.9998,5.0,B1G,Ohio State,2
Mac Jones,2021,1,15,NWE,Alabama,75.54101765316719,15.7263759086189,66.49844236760124,5.832814122533748,88.96583592938734,47.65,3.7410176531671864,2.5,18.76718587746625,62.0,62.0,1926.0,6798.0,36.0,24.0,True,74.72,11.09,6.14,1.58,0.0269,0.71,0.562,0.5695,0.4295,0.3535,0.6775,0.0455,0.3265,0.3315,0.4805,,0.8847,3.0,SEC,Alabama,2
Davis Mills,2021,3,67,HOU,Stanford,73.03711340206185,20.582359679266897,63.6176403207331,5.225658648339061,83.31317296678121,38.1,3.770790378006872,2.8292096219931273,22.38144329896907,56.0,52.0,1746.0,5782.0,33.0,25.0,True,65.59,7.97,2.25,1.85,0.0501,1.31,0.3445,0.36,0.1815,0.5569999999999999,0.8825000000000001,0.115,0.511,0.56,0.6779999999999999,,0.9918,5.0,PAC,Stanford,2
Kenny Pickett,2022,1,20,PIT,Pittsburgh,71.87279102384291,18.29088359046283,62.54558204768583,4.9726507713884995,78.8357643758766,46.25,1.8454417952314168,1.800140252454418,23.181206171107995,50.0,48.0,1426.0,4474.0,13.0,13.0,True,64.82,8.1,3.44,1.93,0.0537,2.26,0.3645,0.3695,0.344,0.5925,0.958,0.1855,0.535,0.5515000000000001,0.7615000000000001,,0.8567,3.0,ACC,Pittsburgh,2
Desmond Ridder,2022,3,74,ATL,Cincinnati,75.5,15.500198807157055,64.0399602385686,5.64572564612326,84.0858846918489,46.4,2.779920477137177,2.391252485089463,18.00536779324056,38.0,34.0,1006.0,3544.0,14.0,12.0,True,66.11,8.81,3.36,2.34,0.0605,5.16,0.387,0.359,0.49,0.569,0.96,0.215,0.533,0.5569999999999999,0.6885,,,,AAC,Cincinnati,2
Bailey Zappe,2022,4,137,NWE,Western Kentucky,73.51842105263158,17.86973684210526,63.16842105263158,4.55,78.44473684210527,30.15,3.5868421052631576,3.9276315789473686,18.121052631578948,28.0,16.0,608.0,2053.0,11.0,12.0,True,67.82,8.66,5.67,1.49,0.0249,0.22,0.4675,0.4725,0.3505,0.728,0.984,0.1305,0.671,0.7709999999999999,0.7925,,,,CUSA,Western Kentucky,2
Sam Howell,2022,5,144,WAS,North Carolina,73.65483359746435,15.245166402535656,63.23438985736925,4.448177496038035,79.02345483359747,45.75,3.457210776545166,3.457210776545166,22.49825673534073,36.0,36.0,1262.0,4115.0,22.0,22.0,True,65.84,9.63,3.33,2.33,0.1032,3.78,0.42,0.389,0.4609999999999999,0.5775,0.9795,0.226,0.504,0.5955,0.748,,0.9582,4.0,ACC,North Carolina,2
Brock Purdy,2022,7,262,SFO,Iowa St.,75.91530944625407,15.1371335504886,68.76319218241042,8.612377850162867,111.42182410423452,70.45,7.166123778501628,2.472312703583062,19.130944625407167,50.0,42.0,1228.0,5654.0,44.0,15.0,True,69.99,7.93,2.25,2.28,0.0422,3.59,0.3765,0.382,0.3295,0.5555,0.952,0.1685,0.4345,0.6085,0.7685,,0.8594,3.0,B12,Iowa State,2
Bryce Young,2023,1,1,CAR,Alabama,72.70987925356751,21.83721185510428,60.263666300768385,4.290120746432492,77.282875960483,42.400000000000006,2.8587266739846324,2.0686059275521407,25.253787047200873,60.0,56.0,1822.0,5280.0,26.0,19.0,True,66.26,8.93,7.78,1.1,0.0579,1.93,0.4515,0.446,0.514,0.54,0.9345,0.0845,0.436,0.5795,0.731,,0.9994,5.0,SEC,Alabama,2
C.J. Stroud,2023,1,2,HOU,Ohio St.,74.02599418040737,19.2807953443259,63.5387972841901,6.41639185257032,93.6791464597478,52.349999999999994,4.187196896217265,1.6708050436469446,25.096023278370513,64.0,64.0,2062.0,7835.0,43.0,17.0,True,68.67,9.6,6.82,1.47,0.0304,0.67,0.5489999999999999,0.5845,-0.05,0.524,0.945,0.068,0.476,0.532,0.626,,0.9779,4.0,B1G,Ohio State,2
Anthony Richardson,2023,1,4,IND,Florida,61.88620689655173,26.310344827586206,50.54827586206898,5.062068965517241,67.80344827586207,46.2,3.1448275862068966,3.703448275862069,25.337931034482754,30.0,30.0,696.0,2391.0,11.0,13.0,True,54.73,7.87,1.64,3.58,0.0393,6.85,0.399,0.276,0.654,0.3875,0.625,0.198,0.3485,0.3695,0.477,,0.9204,4.0,SEC,Florida,2
Will Levis,2023,2,33,TEN,Kentucky,70.88956834532374,17.836870503597122,60.94442446043166,5.104496402877698,82.6841726618705,29.6,3.749640287769784,2.8992805755395685,26.367625899280576,42.0,42.0,1112.0,3899.0,21.0,16.0,True,65.95,8.22,1.91,3.62,0.0836,1.72,0.36,0.319,0.531,0.521,0.9755,0.1435,0.39,0.511,0.8345,,0.8689,3.0,SEC,Kentucky,2
Aidan O'Connell,2023,4,135,LVR,Purdue,72.13651877133105,18.83430034129693,62.639078498293514,5.648805460750853,85.06109215017065,43.65,3.417064846416382,1.8341296928327644,17.510068259385665,40.0,34.0,1172.0,3830.0,20.0,11.0,True,68.31,7.48,2.14,2.36,0.0429,-2.95,0.379,0.3775,0.478,0.5489999999999999,0.8885000000000001,0.038,0.4589999999999999,0.5945,0.6890000000000001,,,,B1G,Purdue,2
Dorian Thompson-Robinson,2023,5,140,CLE,UCLA,71.0313043478261,18.671304347826084,52.625217391304346,1.4382608695652173,45.19739130434783,26.200000000000003,0.4382608695652173,4.369565217391305,21.83478260869565,30.0,10.0,460.0,880.0,1.0,10.0,True,66.46,8.26,3.54,2.03,0.0514,5.13,0.4475,0.4125,0.5680000000000001,0.5275000000000001,0.9275,0.2224999999999999,0.5055000000000001,0.4505,0.7064999999999999,,0.9813,4.0,PAC,UCLA,2
Caleb Williams,2024,1,1,CHI,USC,71.09309734513275,20.898938053097343,60.2883185840708,5.954513274336284,88.95610619469026,50.75,4.203185840707965,1.150265486725664,24.30424778761062,68.0,68.0,2260.0,7483.0,47.0,13.0,True,67.22,9.22,7.44,1.08,0.0672,2.34,0.4875,0.4679999999999999,0.6074999999999999,0.622,0.944,0.206,0.5485,0.6455,0.757,,0.9969,5.0,PAC,USC,2
Jayden Daniels,2024,1,2,WAS,LSU,77.69341317365269,14.612574850299405,66.63592814371258,6.3311377245508975,96.72275449101797,56.2,4.946706586826347,1.8155688622754491,17.993413173652694,48.0,48.0,1336.0,4830.0,33.0,12.0,True,70.2,9.44,8.0,1.0,0.0833,6.2,0.5225,0.4795,0.6515,0.5825,0.853,0.3,0.5425,0.617,0.638,,0.9832,4.0,SEC,LSU,2
Drake Maye,2024,1,3,NWE,North Carolina,77.85975903614458,14.858795180722892,69.80096385542168,6.996867469879518,103.15638554216868,66.15,5.526265060240964,2.170120481927711,21.026265060240963,60.0,58.0,1660.0,6670.0,46.0,18.0,True,65.45,8.52,3.69,1.77,0.0682,3.88,0.408,0.3905,0.5135000000000001,0.6425000000000001,0.984,0.2555,0.5549999999999999,0.677,0.772,,0.9724,4.0,ACC,North Carolina,2
Michael Penix,2024,1,8,ATL,Washington,71.2740157480315,23.53149606299213,59.5488188976378,6.5897637795275585,85.85433070866142,52.75,3.189763779527559,1.5960629921259843,15.938582677165355,28.0,24.0,762.0,2757.0,12.0,6.0,True,65.87,8.86,3.88,1.65,0.0142,1.11,0.454,0.4669999999999999,0.209,0.596,0.964,0.0735,0.5885,0.565,0.6785,,0.8749,3.0,PAC,Washington,2
J.J. McCarthy,2024,1,10,MIN,Michigan,66.5,21.3,57.6,4.3,72.6,35.6,4.5,4.9,26.5,20.0,20.0,486.0,1632.0,11.0,12.0,True,69.74,8.71,5.57,1.22,0.0453,3.42,0.4715,0.4675,0.5065,0.4135,0.8885000000000001,0.094,0.3605,0.409,0.5529999999999999,,0.9866,5.0,B1G,Michigan,2
Bo Nix,2024,1,12,DEN,Oregon,77.01526717557252,15.51526717557252,64.79465648854962,6.048091603053435,90.44503816793892,55.9,4.580916030534351,1.9442748091603057,17.561068702290076,68.0,68.0,2358.0,7706.0,54.0,23.0,True,74.66,9.27,7.44,1.11,0.0112,5.41,0.5265,0.498,0.652,0.5385,0.9335,0.141,0.5055000000000001,0.508,0.6755,,0.9856,5.0,PAC,Oregon,2
Spencer Rattler,2024,5,150,NOR,South Carolina,73.19567010309278,14.384742268041236,62.6698969072165,4.682886597938144,78.93134020618557,43.7,2.4888659793814436,2.0410309278350516,18.91030927835051,32.0,28.0,970.0,2903.0,12.0,10.0,True,67.82,7.95,1.84,2.54,0.0817,0.74,0.3135,0.3065,0.361,0.5875,0.9495,0.1535,0.514,0.5785,0.7765,,0.9942,5.0,SEC,South Carolina,2
